"item1"	"item2"	"correlation"
"1"	"kampány"	"csaba"	0.19795961161903
"2"	"képviselo"	"csaba"	0.160151520775766
"3"	"mszp"	"csaba"	0.241041518000432
"4"	"kísérlet"	"csaba"	0.116561917406841
"5"	"akadályoz"	"csaba"	0.107028224833099
"6"	"választási"	"csaba"	0.210937903875576
"7"	"eljárás"	"csaba"	0.104924882144086
"8"	"külön"	"csaba"	0.129128513572075
"9"	"önálló"	"csaba"	0.107028224833099
"10"	"jelöl"	"csaba"	0.195965895094029
"11"	"államtitkár"	"csaba"	0.107247030850048
"12"	"belép"	"csaba"	0.112521251456979
"13"	"tóth"	"csaba"	0.342209638195529
"14"	"agresszív"	"csaba"	0.129415780217616
"15"	"egyenes"	"csaba"	0.109713150332388
"16"	"tanul"	"csaba"	0.101122055194765
"17"	"kezdeményezés"	"csaba"	0.32769333726514
"18"	"polgári"	"csaba"	0.185149408213978
"19"	"egyesület"	"csaba"	0.120900197061093
"20"	"népszavazás"	"csaba"	0.109653200041031
"21"	"elvisel"	"csaba"	0.134889307115674
"22"	"színpad"	"csaba"	0.11766932853817
"23"	"ma"	"testvér"	0.105581005741876
"24"	"emberi"	"testvér"	0.143718383214359
"25"	"ostobaság"	"testvér"	0.363775595410097
"26"	"gyilkos"	"testvér"	0.154388152654662
"27"	"menekülo"	"testvér"	0.101068477989673
"28"	"terrorista"	"testvér"	0.109591326874484
"29"	"csupán"	"testvér"	0.143063716070354
"30"	"világos"	"testvér"	0.112533836508734
"31"	"igenis"	"testvér"	0.21046596870309
"32"	"szék"	"testvér"	0.125191825826256
"33"	"egyáltalán"	"testvér"	0.114909489960847
"34"	"egymás"	"testvér"	0.172875295516389
"35"	"kapcsolat"	"testvér"	0.232296862428212
"36"	"állat"	"testvér"	0.102053102089574
"37"	"lezár"	"testvér"	0.119417819295994
"38"	"tekintet"	"testvér"	0.118347878190366
"39"	"alakul"	"testvér"	0.132005886922036
"40"	"erkölcsi"	"testvér"	0.101877396947405
"41"	"civilizáció"	"testvér"	0.139486311793667
"42"	"közötti"	"testvér"	0.246450764690419
"43"	"befogad"	"testvér"	0.159779945114404
"44"	"elmélet"	"testvér"	0.228294260806543
"45"	"teremt"	"testvér"	0.144105532096524
"46"	"kibaszott"	"testvér"	0.137248072127477
"47"	"szexuális"	"testvér"	0.312367639251347
"48"	"pápa"	"testvér"	0.151206402865056
"49"	"kereszténység"	"testvér"	0.113500217521812
"50"	"zavar"	"testvér"	0.136031513588315
"51"	"elmagyaráz"	"testvér"	0.112547957939698
"52"	"bán"	"testvér"	0.224279762428717
"53"	"rokon"	"testvér"	0.168169366762096
"54"	"kötelesség"	"testvér"	0.258351516673123
"55"	"ocsmány"	"testvér"	0.103447202345341
"56"	"tulajdonos"	"testvér"	0.140615277160161
"57"	"közeli"	"testvér"	0.105050228962067
"58"	"megvéd"	"testvér"	0.102939074221379
"59"	"elony"	"testvér"	0.136448681784638
"60"	"kicsike"	"testvér"	0.124530358696315
"61"	"undorító"	"testvér"	0.127608158059711
"62"	"amennyi"	"testvér"	0.121898545176472
"63"	"ünnep"	"levél"	0.244457169831374
"64"	"indokol"	"levél"	0.163931730986418
